angle_deg,thickness,visible_segment_length
45.0,1.4852662284258988,0.0
45.0,0.8595447748825843,0.0
45.0,1.2039771657084744,0.0
45.0,0.8597306257325221,0.0
45.0,1.7837837106299659,0.0
45.0,1.612869903692552,0.0
45.0,0.9620818530746147,0.0
45.0,1.96679785649339,0.0
45.0,0.6697697780524638,0.0
45.0,2.4279840892476985,0.2438305389851842
45.0,0.9218499847524763,0.9217966406800991
45.0,0.8425317794899994,1.599762742375014
45.0,0.8578386820440133,2.277728844069929
45.0,0.6875657878020305,2.955694945764844
45.0,1.6830746640128893,3.633661047459759
45.0,1.3996443814954764,4.311627149154674
45.0,0.9971512026705327,4.989593250849589
45.0,1.5433301337958594,5.667559352544504
45.0,0.9057753875106128,6.345525454239419
45.0,1.045946344534759,7.023491555934334
45.0,1.524008416197594,7.701457657629248
45.0,1.2117147583235628,8.379423759324164
45.0,0.9838314078496042,9.057389861019079
45.0,1.42485358349269,9.735355962713992
45.0,0.6458958272566379,10.413322064408908
45.0,0.7331239674075163,11.091288166103823
45.0,1.392223331149428,11.769254267798738
45.0,0.7662980580849815,12.447220369493674
45.0,0.9114200963516498,13.125186471188568
45.0,0.6472119430277794,13.803152572883484
45.0,0.6485692393730956,13.803152572883503
45.0,1.3437617975932028,13.125186471188568
45.0,1.0635446221994966,12.447220369493674
45.0,0.753260471550227,11.769254267798757
45.0,1.030802705442118,11.091288166103823
45.0,0.4727318138137381,10.413322064408908
45.0,1.0968925688688598,9.735355962713992
45.0,1.7270853418398557,9.057389861019079
45.0,1.8181193402591977,8.379423759324164
45.0,0.9996972982950806,7.701457657629248
45.0,0.8982914338809649,7.023491555934334
45.0,1.655154432386901,6.345525454239419
45.0,1.2594779070131585,5.667559352544504
45.0,0.8050184090939158,4.989593250849589
45.0,1.0109165197359895,4.311627149154679
45.0,1.4297475327761997,3.633661047459764
45.0,1.1437992741238685,2.955694945764844
45.0,1.2488462506748255,2.277728844069929
45.0,1.2165772163860642,1.599762742375014
45.0,1.3542337739363859,0.9217966406800991
45.0,1.4579452921773124,0.24383053898518922
45.0,1.338985219376423,0.0
45.0,1.6079790184087568,0.0
45.0,0.9036375619591294,0.0
45.0,0.9712319416291816,0.0
45.0,1.1272826407215504,0.0
45.0,0.5703090131834294,0.0
45.0,1.1001291594987348,0.0
45.0,1.442684227615295,0.0
45.0,1.0812209106837547,0.0
